code,id,user_type_id/id,name,reconcile,chart_template_id/id
173000,account_account_173000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI",False,account_chart_si_gd
174000,account_account_174000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA",False,account_chart_si_gd
175000,account_account_175000,account.data_account_type_current_assets,"KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA",False,account_chart_si_gd
176000,account_account_176000,account.data_account_type_current_assets,"DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI",False,account_chart_si_gd
177000,account_account_177000,account.data_account_type_current_assets,"DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA",False,account_chart_si_gd
178000,account_account_178000,account.data_account_type_current_assets,"DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA",False,account_chart_si_gd
179000,account_account_179000,account.data_account_type_current_assets,OSLABITEV VREDNOSTI KRATKOROČNIH FINANČNIH NALOŽB,False,account_chart_si_gd
180000,account_account_180000,account.data_account_type_current_assets,"KRATKOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB DRUŽBAM V SKUPINI",False,account_chart_si_gd
181000,account_account_181000,account.data_account_type_current_assets,"KRATKOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB PRIDRUŽENIM DRUŽBAM IN SKUPAJ OBVLADOVANIM DRUŽBAM",False,account_chart_si_gd
182000,account_account_182000,account.data_account_type_current_assets,"KRATKOROČNA POSOJILA, DANA DRUGIM",False,account_chart_si_gd
183000,account_account_183000,account.data_account_type_current_assets,KRATKOROČNI DEPOZITI V BANKAH IN DRUGIH FINANČNIH ORGANIZACIJAH,False,account_chart_si_gd
